date,time,ci,support,resistance,oi_bias,pcr,nifty_price,nifty_fut_price
2026-04-16,12:00,59.56,10.58,20.86,-10.27,0.45,24184.25,24170.4
2026-04-16,12:05,60.62,20.03,17.96,2.07,0.4,24155.95,24165.0
2026-04-16,12:10,59.53,20.03,17.96,2.07,0.4,24172.0,24183.0
2026-04-16,12:15,60.12,36.09,28.47,7.62,0.4,24177.85,24184.4
2026-04-16,12:20,60.98,36.5,28.54,7.96,0.41,24182.75,24190.0
2026-04-16,12:25,60.58,21.59,18.57,3.02,0.41,24155.9,24170.0
2026-04-16,12:30,60.68,22.18,18.85,3.33,0.41,24160.85,24163.0
2026-04-16,12:35,59.53,21.89,18.86,3.03,0.4,24138.2,24140.0
2026-04-16,12:40,59.79,21.78,18.97,2.81,0.39,24160.9,24160.0
2026-04-16,12:45,60.62,22.23,18.92,3.31,0.39,24133.15,24145.0
2026-04-16,12:50,59.54,22.66,18.94,3.72,0.39,24132.85,24154.1
2026-04-16,12:55,60.65,31.64,17.77,13.88,0.39,24120.9,24144.0
2026-04-16,13:00,59.4,23.42,19.13,4.29,0.39,24143.1,24154.7
2026-04-16,13:05,60.97,23.97,19.04,4.93,0.39,24158.9,24165.2
2026-04-16,13:10,59.35,32.61,18.28,14.33,0.39,24119.75,24136.0
2026-04-16,13:15,61.15,32.73,18.33,14.4,0.37,24119.6,24130.1
2026-04-16,13:20,59.77,24.07,19.04,5.04,0.37,24140.45,24142.0
2026-04-16,13:25,58.98,32.82,18.59,14.23,0.38,24103.1,24125.0
2026-04-16,13:35,60.23,33.87,18.46,15.4,0.36,24123.4,24130.0
2026-04-16,13:40,59.93,33.82,18.42,15.4,0.36,24124.1,24136.5
2026-04-16,13:45,59.57,24.24,18.38,5.86,0.36,24140.6,24150.0
2026-04-16,13:50,59.82,24.65,18.41,6.24,0.36,24157.05,24181.6
2026-04-16,13:55,60.46,36.77,26.53,10.23,0.36,24181.65,24189.0
2026-04-16,14:00,61.77,37.31,26.88,10.43,0.37,24183.25,24185.9
2026-04-16,14:05,60.04,23.66,18.68,4.98,0.37,24144.7,24147.7
2026-04-16,14:10,59.84,23.95,18.32,5.63,0.37,24157.25,24163.1
2026-04-16,14:15,60.13,23.85,18.38,5.47,0.37,24162.9,24165.0
2026-04-16,14:20,61.77,23.79,18.4,5.39,0.37,24161.95,24170.7
2026-04-16,14:25,60.08,23.88,18.5,5.37,0.37,24167.1,24174.4
2026-04-16,14:30,60.72,38.3,26.2,12.11,0.38,24191.75,24204.8
2026-04-16,14:35,62.62,30.26,20.21,10.05,0.38,24225.05,24235.0
2026-04-16,14:40,63.8,36.71,25.77,10.94,0.39,24224.3,24240.0
2026-04-16,14:45,63.91,31.19,20.0,11.2,0.39,24233.6,24242.9
2026-04-16,14:50,63.56,31.26,19.94,11.32,0.4,24239.8,24249.0
2026-04-16,14:55,65.09,31.27,19.66,11.61,0.4,24236.3,24246.8
2026-04-16,15:00,64.29,31.1,19.74,11.36,0.4,24237.05,24248.1
2026-04-16,15:05,62.77,36.38,24.49,11.89,0.4,24207.25,24218.6
2026-04-16,15:10,61.82,36.43,24.25,12.18,0.38,24175.65,24190.0
2026-04-16,15:15,61.85,36.7,23.57,13.13,0.37,24179.25,24196.0
2026-04-16,15:20,61.27,36.47,23.41,13.06,0.37,24182.75,24195.0
2026-04-16,15:25,61.83,36.59,22.04,14.55,0.35,24188.4,24186.3
